;ISIN-код бумаги;Номинал;Доходность;Цена послед.;Дюрация;Лучш. пред;Спрос;Размер купона;Длит. купона;Дата выпл. куп.;НКД;Погашение;До погашения;Оборот;Заявки куп.;Заявки прод.;Общ. предл.;Общ. спрос;Доходность
ДОМ.РФ14об;RU000A0JQAL8;1000;-55.11;0;28;108;107.15;53.31;181;15.05.2018;45.06;15.05.2023;1854;0;4;3;2009;2011;10.75035912
Агронова01;RU000A0JW118;1000;11.39;0;0;100.55;99.91;53.6;182;21.06.2018;34.46;17.12.2020;975;0;3;3;3230;3520;10.74945055
ГИДРОМАШБ1;RU000A0JXJE0;1000;9.13;0;619;104.96;102;53.6;182;21.08.2018;16.49;09.02.2027;3220;0;10;8;12904;842;10.74945055
ИК МБС БО1;RU000A0JXW87;1000;4.61;0;0;0;65;26.8;91;20.04.2018;25.92;14.07.2023;1914;0;2;0;0;2;10.74945055
ЛСР БО 1Р1;RU000A0JWU98;1000;8.95;104.5;788;104.15;103.5;26.8;91;27.06.2018;5.89;22.09.2021;1254;1042755;8;75;105680;463;10.74945055
МетЭнМонт1;RU000A0JVE40;1000;10.77;0;0;0;65;53.6;182;10.05.2018;46.83;07.05.2020;751;0;1;0;0;1;10.74945055
ОДК 01;RU000A0JWK74;1000;7.42;0;2081;121;0;53.6;182;08.06.2018;38.29;10.06.2026;2976;0;0;1;24166;0;10.74945055
ПИК БО-П03;RU000A0JXY44;1000;9.56;0;1257;106.23;105.41;26.8;91;04.05.2018;21.79;29.07.2022;1564;0;8;7;3195;3191;10.74945055
ПраймФ БО1;RU000A0JVYD5;1000;-5.62;0;34;0;65;53.6;182;21.05.2018;43.59;10.11.2025;2764;0;1;0;0;1;10.74945055
ТТБИнвПр01;RU000A0JVE57;1000;10.77;0;0;0;63;53.6;182;10.05.2018;46.83;07.05.2020;751;0;1;0;0;1;10.74945055
ЧТПЗ 1P1;RU000A0JX439;1000;8.25;106.3;857;106.3;100.1;53.6;182;28.06.2018;32.4;24.12.2020;982;369924;8;2;3652;1252;10.74945055
ИА Вега1 А;RU000A0JWKQ4;478.88;-87.86;0;0;0;67;4.37;31;26.04.2018;3.1;26.06.2041;8471;0;1;0;0;1;10.74449253
БашнфтБО5;RU000A0JUML5;1000;6.95;0;0;0;70.01;53.35;182;21.05.2018;43.39;13.05.2024;2218;0;4;0;0;32;10.69931319
СПбТел 04;RU000A0JS3M7;1000;8.98;0;753;103.26;102.5;53.35;182;06.08.2018;20.81;31.01.2022;1385;0;4;43;63524;1732;10.69931319
СПбТел 05;RU000A0JS3L9;1000;8.36;0;1162;0;65.06;53.35;182;06.08.2018;20.81;31.01.2022;1385;0;2;0;0;7;10.69931319
ОткрХОЛ 3;RU000A0JT3J2;1000;1033.1;0;0;0;9.2;132.95;455;28.12.2018;57.71;17.09.2027;3440;0;1;0;0;1;10.66521978
БелгОб2014;RU000A0JUQB7;450;5.54;0;296;104.2;102.21;11.95;91;25.06.2018;2.89;21.06.2021;1161;0;14;9;2331;416;10.65140415
ТелХолПБО3;RU000A0JXQJ4;1000;9.53;0;799;103;102.01;53.1;182;03.05.2018;48.44;29.10.2020;926;0;5;21;20601;812;10.64917582
ТрансФБО40;RU000A0JVPS1;1000;10.84;0;0;0;63;53.1;182;20.08.2018;16.63;11.08.2025;2673;0;1;0;0;1;10.64917582
ИАМКБ2014А;RU000A0JUNU4;178.17;-2.83;0;0;0;63;4.78;92;07.06.2018;2.13;07.06.2039;7721;0;1;0;0;1;10.6438404
ЭлемЛиз1P1;RU000A0ZZ0L6;1000;11.02;100;523;99.9;99.75;26.43;91;29.06.2018;5.23;26.03.2021;1074;499988;8;5;35500;426;10.60104396
ЕврХимБ1Р1;RU000A0JWDU1;1000;7.28;0;341;103.1;102.11;52.85;182;19.04.2018;52.27;19.04.2019;367;0;5;9;296371;61;10.59903846
Дельта17ИП;RU000A0JWBN0;1000;6.79;0;0;0;64;26.64;92;30.06.2018;5.21;30.03.2019;347;0;1;0;0;1;10.56913043
ТрансФБО41;RU000A0JVS36;1000;10.77;0;0;0;63;52.61;182;12.09.2018;9.83;03.09.2025;2696;0;1;0;0;1;10.55090659
Удмурт2016;RU000A0JWT91;1000;7.61;0;2060;120.2;105.02;26.3;91;30.06.2018;4.91;19.09.2026;3077;0;4;2;5002;22;10.5489011
КИТФКапБО4;RU000A0JUTQ9;1000;211.56;0;0;0;67.77;52.51;182;05.09.2018;11.83;04.09.2019;505;0;2;0;0;77;10.53085165
ИА МТСБ А;RU000A0JUQ54;258.48;-12.14;0;0;0;0;6.62;89;26.05.2018;3.72;26.11.2041;8624;0;0;0;0;0;10.50349667
АИЖК14-2А3;RU000A0JV755;1000;-42.15;0;0;0;80.01;26.47;92;13.06.2018;10.07;13.06.2047;10649;0;2;0;0;2;10.50168478
АбсолютБО5;RU000A0JVD41;1000;10.54;0;0;0;75.1;52.36;182;29.04.2018;48.9;29.04.2020;743;0;2;0;0;2;10.50076923
БашнфтБО2;RU000A0JWH87;1000;0;0;0;0;60;52.36;182;22.05.2018;42.29;12.05.2026;2947;0;1;0;0;20;10.50076923
ЕвропланБ2;RU000A0JVQT7;1000;11;0;0;0;61;26.18;91;28.05.2018;14.38;23.08.2021;1224;0;1;0;0;1;10.50076923
ИНГР БО-01;RU000A0JXLM9;1000;9.97;0;156;100.3;100;52.36;182;20.09.2018;7.48;17.03.2022;1430;0;5;6;4387;4000;10.50076923
КалинОбл16;RU000A0JX2S9;1000;7.35;0;1079;110.19;107.9;26.18;91;22.06.2018;7.19;17.12.2021;1340;0;9;8;5039;3124;10.50076923
ЛипецкОбл9;RU000A0JUNK5;500;6.81;0;257;102.7;101.55;13.09;91;05.06.2018;6.04;04.06.2019;413;0;15;4;5475;409;10.50076923
О'КЕЙ-Б05;RU000A0JVD17;1000;7.92;105;652;104.99;102.51;52.36;182;24.04.2018;50.34;21.04.2020;735;2100;14;3;38;721;10.50076923
ПромСвКап1;RU000A0JWEC7;1000;1436.87;0;3;0;70;52.36;182;20.04.2018;51.49;10.04.2026;2915;0;1;0;0;1;10.50076923
РегИнв 01;RU000A0JUUB9;1000;7568.07;0;0;0;0.39;52.36;182;13.09.2018;9.49;12.09.2019;513;0;3;0;0;900;10.50076923
Ростел 16;RU000A0JTYT5;500;10.65;0;0;0;100.01;26.18;182;07.06.2018;18.84;07.06.2018;51;0;11;0;0;137;10.50076923
СИБУРХол10;RU000A0JWBK6;1000;7.56;107.99;949;107.8;106.26;52.36;182;25.09.2018;6.04;17.03.2026;2891;3240;8;11;177457;1047;10.50076923
СУЭКФБ1P1R;RU000A0JWWW7;1000;7.16;0;503;104;103.41;52.36;182;25.04.2018;50.05;23.10.2019;554;0;3;3;53930;1007;10.50076923
ТрансФ1P03;RU000A0JXVB1;1000;0;0;0;0;0;52.36;182;09.07.2018;28.48;28.06.2027;3359;0;0;0;0;0;10.50076923
ТрансФ1P04;RU000A0ZYEB1;1000;10.58;100.4;792;100.4;100.4;52.36;182;26.04.2018;49.77;14.10.2027;3467;401601;10;13;24818;2862;10.50076923
ТрансФБО26;RU000A0JUKA2;1000;10.77;0;0;0;65;52.36;182;11.10.2018;1.44;11.04.2019;359;0;1;0;0;1;10.50076923
ТрансФБО28;RU000A0JUUG8;1000;10.74;0;0;0;63;52.36;182;18.09.2018;8.05;17.09.2019;518;0;1;0;0;1;10.50076923
ТрансФБО29;RU000A0JUQ96;1000;10.75;0;0;0;63;52.36;182;25.06.2018;32.51;17.06.2024;2253;0;1;0;0;1;10.50076923
ТрансФБО31;RU000A0JV9Q0;1000;10.67;0;0;0;63;52.36;182;05.09.2018;11.79;26.02.2025;2507;0;1;0;0;1;10.50076923
ТрансФБО37;RU000A0JUZZ7;1000;10.77;0;0;0;63;52.36;182;21.05.2018;42.58;11.11.2024;2400;0;1;0;0;1;10.50076923
ТрансФБО42;RU000A0JW5B9;1000;0;0;0;0;0;52.36;182;17.08.2018;17.26;06.02.2026;2852;0;0;0;0;0;10.50076923
УпрОтходБ2;RU000A0ZZ2W9;1000;0;0;0;0;0;157.64;548;12.10.2019;1.44;09.10.2030;4558;0;0;0;0;0;10.49974453
АИЖК14-2А2;RU000A0JV7G5;839.69;-6.37;0;0;0;80.01;22.22;92;13.06.2018;8.45;13.06.2047;10649;0;4;0;0;4;10.49856909
ЗСД 01;RU000A0JRJB8;1000;10.71;0;0;0;77;52.06;182;29.05.2018;40.04;13.05.2031;4774;0;2;0;0;11;10.4406044
ЗСД 02;RU000A0JRJL7;1000;10.71;0;0;0;65;52.06;182;29.05.2018;40.04;13.05.2031;4774;0;1;0;0;1;10.4406044
КубнЭн1P01;RU000A0JVZK7;1000;0;0;0;0;0;52.06;182;01.06.2018;39.19;21.11.2025;2775;0;0;0;0;0;10.4406044
РН БАНК 01;RU000A0JWMJ5;1000;6.95;0;81;0;0;52.14;183;07.07.2018;29.06;09.07.2021;1179;0;0;0;0;0;10.3995082
Росбанк2P2;RU000A0JXUH0;1000;6.53;0;720;0;0;51.57;181;27.05.2018;40.18;30.06.2020;805;0;0;0;0;0;10.39947514
РосбанкБ14;RU000A0JWHT4;1000;10.63;0;215;0;95.02;51.57;181;27.05.2018;40.18;27.05.2026;2962;0;3;0;0;15;10.39947514
КАМАЗ БО13;RU000A0JW126;1000;0;0;0;0;0;51.81;182;21.06.2018;33.3;05.12.2030;4615;0;0;0;0;0;10.39046703
СтржилинБ1;RU000A0JV334;1000;10.06;0;0;99.5;70;51.71;182;19.06.2018;33.81;14.12.2021;1337;0;1;2;24;1;10.37041209
РусГидрБП4;RU000A0JWCB3;1000;7.91;0;343;103.49;102.37;51.61;182;04.10.2018;3.4;04.04.2019;352;0;13;5;14180;42244;10.35035714
ДельтКрБ26;RU000A0JWNB0;1000;7.76;0;434;0;80.01;51.08;181;21.07.2018;24.27;21.07.2026;3017;0;2;0;0;2;10.30066298
АльфаБО-15;RU000A0JV0U1;1000;2.05;0;42;100.98;100.06;51.36;182;29.05.2018;39.51;13.11.2029;4228;0;15;4;19;5060;10.30021978
МКБ БО-07;RU000A0JU8W1;1000;9.55;100.49;187;100.49;100.12;51.36;182;30.04.2018;47.69;30.10.2018;196;57279;9;11;9238;6437;10.30021978
МОЭСК БО-8;RU000A0JWEZ8;1000;7.91;0;347;0;94.01;51.36;182;26.04.2018;48.82;16.04.2026;2921;0;2;0;0;21;10.30021978
РЖД БО-05;RU000A0JWD57;1000;0;0;0;0;68;51.36;182;12.10.2018;1.13;03.04.2026;2908;0;1;0;0;1;10.30021978
РЖД БО-07;RU000A0JWC82;1000;7.39;0;665;0;100.01;51.36;182;03.10.2018;3.67;25.03.2026;2899;0;6;0;0;188;10.30021978
ИАМлторг2А;RU000A0JWAT9;451.05;1;0;0;0;62;11.71;92;15.06.2018;4.2;15.12.2043;9373;0;1;0;0;1;10.30000048
Дельта18ИП;RU000A0JWZT6;1000;8.93;0;0;0;0;51.03;181;24.05.2018;40.6;24.11.2021;1317;0;0;0;0;0;10.29058011
РоссетиБО6;RU000A0JVZP6;1000;0;0;0;0;68;51.31;182;05.06.2018;37.5;31.10.2045;10059;0;1;0;0;1;10.29019231
Якут-08 об;RU000A0JWGT6;1000;6.95;0;672;106.6;104.31;25.65;91;16.05.2018;17.48;18.05.2021;1127;0;7;2;240;73;10.28818681
Uranium 02;RU000A0JRTT9;1000;10.24;0;766;109.97;100.5;51.11;182;17.08.2018;16.85;11.08.2023;1942;0;4;3;35;64;10.25008242
Автодор1P1;RU000A0JX009;1000;8.23;0;829;108.49;95;51.11;182;25.05.2018;40.44;20.11.2020;948;0;7;4;15581;1075;10.25008242
БКЕ Б-1P-1;RU000A0JWL32;1000;7.63;0;404;103.2;102.01;51.11;182;21.06.2018;32.86;21.06.2019;430;0;2;2;102;101;10.25008242
ЕврфинМНБ1;RU000A0JWK58;1000;10.47;0;0;0;0;51.11;182;07.06.2018;36.79;03.06.2021;1143;0;0;0;0;0;10.25008242
Зенит 10об;RU000A0JTY40;1000;29.66;0;43;100.2;98.11;51.11;182;30.05.2018;39.03;30.05.2018;43;0;10;4;1588;487;10.25008242
КЕБ Б01P01;RU000A0ZYDA5;1000;9.07;0;497;101.81;100.01;51.11;182;19.04.2018;50.55;17.10.2019;548;0;3;2;203;30;10.25008242
НефГазХол4;RU000A0JRJV6;1000;138.87;0;49;89.79;85.22;51.11;182;05.06.2018;37.35;01.06.2021;1141;0;28;15;2566;391;10.25008242
НефГазХол6;RU000A0JRK22;1000;125.03;0;52;89.99;86.01;51.11;182;08.06.2018;36.51;04.06.2021;1144;0;7;11;3765;295;10.25008242
ПСКап БП1;RU000A0JX017;1000;10.3;0;0;95;65;51.11;182;25.05.2018;40.44;13.11.2026;3132;0;1;1;100000;1;10.25008242
РОССИУМ Б1;RU000A0JVZA8;1000;10.6;0;38;100.65;99.97;51.11;182;25.05.2018;40.44;14.11.2025;2768;0;3;3;3630;3375;10.25008242
СилМашБО-5;RU000A0JX0Y1;1000;12.32;0;544;97.5;96.07;51.11;182;06.06.2018;37.07;25.11.2026;3144;0;17;17;112742;364;10.25008242
СилМашБО-6;RU000A0JX1A9;1000;11.94;0;549;98;97.01;51.11;182;11.06.2018;35.66;30.11.2026;3149;0;19;8;339;258;10.25008242
ТрансФ1P01;RU000A0JWWM8;1000;10.51;0;0;0;61;51.11;182;20.04.2018;50.27;09.10.2026;3097;0;1;0;0;42;10.25008242
ТрансФ1P05;RU000A0ZYFS2;1000;10.48;0;0;0;0;51.11;182;16.05.2018;42.97;03.11.2027;3487;0;0;0;0;0;10.25008242
УпрОтход01;RU000A0JU9K4;1000;31.94;0;0;0;0;102.5;365;07.05.2018;96.88;07.05.2024;2212;0;0;0;0;0;10.25
МКБ БО-09;RU000A0JU898;1000;8.28;103.75;657;103.75;102.01;51.67;184;25.09.2018;6.46;25.03.2020;708;4150;5;3;11009;71;10.24975543
ИАМетинв1А;RU000A0JWLE8;587.46;-4.23;0;41;0;0;14.68;89;28.05.2018;7.92;28.08.2046;10360;0;0;0;0;0;10.24827127
НижгорОб11;RU000A0JWLD0;1000;7.17;0;1175;111;107.7;25.55;91;18.04.2018;25.27;22.06.2023;1892;0;6;2;613;5412;10.24807692
О1ГрФин1P1;RU000A0JXQM8;1000;694400;0;0;64.4;54.4;25.55;91;03.05.2018;21.06;22.04.2027;3292;0;2;1;1;18;10.24807692
ПСБМСБ15А1;RU000A0JWTU7;417.55;-6.16;0;11;100.5;99.8;3.63;31;28.04.2018;2.35;26.06.2031;4818;0;2;1;8000;8001;10.23597715
ОФЗ 29008;RU000A0JV4P3;1000;7.28;113.048;2686;112.811;112.811;51.01;182;18.04.2018;0;03.10.2029;4187;162604;30;37;2281;24215;10.23002747
Новсиб 8об;RU000A0JWHW8;900;7.55;0;1435;112;108.65;22.64;90;16.07.2018;0;28.05.2026;2963;0;6;2;6;4218;10.20197531
ПромсвбБО8;RU000A0JUVG6;1000;9;0;660;103.05;102.41;51.42;184;28.09.2018;5.59;28.03.2021;1076;0;11;11;10171;1404;10.20016304
Акрон 04;RU000A0JRHF3;1000;7.78;0;682;105.94;104.85;50.86;182;22.05.2018;41.08;18.05.2021;1127;0;7;4;4021;537;10.19994505
Акрон 05;RU000A0JRHG1;1000;7.7;0;682;0;103.95;50.86;182;22.05.2018;41.08;18.05.2021;1127;0;4;0;0;531;10.19994505
ЯрОбл 2014;RU000A0JUQF8;450;7.64;102;267;102;101.63;11.44;91;26.06.2018;2.64;24.09.2019;525;1378;18;18;71060;5378;10.1968254
ИА МКБ2-01;RU000A0JX0L8;591.65;-8.82;0;0;0;63;15.14;92;07.06.2018;6.75;07.12.2043;9365;0;1;0;0;1;10.15233742
ВЭБ ПБО1Р4;RU000A0JWNJ3;1000;7.4;0;437;103.54;96.41;50.61;182;24.07.2018;23.36;23.07.2019;462;0;5;6;67157;74;10.14980769
МКБ БО-06;RU000A0JU880;1000;9.76;100.3;181;100.3;100;50.61;182;24.04.2018;48.66;24.10.2018;190;50404219;9;12;38089;5103;10.14980769
ПромсвбБП1;RU000A0JWEU9;1000;10;0;929;104.99;101.12;50.61;182;23.04.2018;48.94;19.04.2021;1098;0;5;2;5300;624;10.14980769
ИААбсолют3;RU000A0JV2C5;290.53;-0.49;0;55;0;63;7.4;92;11.06.2018;2.97;11.09.2042;8913;0;1;0;0;1;10.10522
ОткрФКБОП3;RU000A0JXLR8;1000;8.01;104;664;103.99;100.76;50.92;184;27.09.2018;5.81;10.04.2023;1819;52000;5;6;69925;305;10.10097826
ВЭБлизинг8;RU000A0JRUY7;1000;8.28;0;503;104.15;95.9;50.36;182;24.04.2018;48.42;19.10.2021;1281;0;6;2;10000;10;10.09967033
ВЭБлизинг9;RU000A0JRV52;1000;7.51;0;505;0;63.01;50.36;182;25.04.2018;48.15;20.10.2021;1282;0;2;0;0;21;10.09967033
ОткрФКББ4;RU000A0JV3L4;1000;8.4;0;0;0;90.02;50.36;182;25.06.2018;31.27;04.05.2023;1843;0;2;0;0;11;10.09967033
ОткрФКБОП1;RU000A0JVC59;1000;8.13;0;678;103.66;0;50.36;182;09.10.2018;1.94;16.04.2023;1825;0;0;4;505;0;10.09967033
ТранснфБО5;RU000A0JWEB9;1000;7.59;0;933;0;0;50.36;182;19.04.2018;49.81;09.04.2026;2914;0;0;0;0;0;10.09967033
Якут 35006;RU000A0JUQH4;500;7.5;0;472;0;103.56;12.59;91;27.06.2018;2.77;02.07.2021;1172;0;10;0;0;1142;10.09967033
РусфинБО-4;RU000A0JVYJ2;1000;6.05;0;37;100.39;0;50.08;181;24.05.2018;39.85;24.11.2020;952;0;0;5;13532;0;10.09900552
ОФЗ 29009;RU000A0JV4N8;1000;8.28;116;2918;116;116.02;50.11;182;23.05.2018;40.47;05.05.2032;5132;13924;28;22;10962;23885;10.04953297
РусфинБО-8;RU000A0JUNL3;1000;9.76;0;54;100.8;0;50.11;182;10.06.2018;35.24;10.06.2019;419;0;0;3;29005;0;10.04953297
СамарОбл10;RU000A0JUQP7;500;6.28;0;432;104.5;102.54;12.47;91;05.07.2018;1.64;01.07.2021;1171;0;10;3;763;161;10.00340659
ИА АкБар2А;RU000A0JW316;504.47;-2.8;0;0;0;0;12.58;91;15.07.2018;0.28;15.10.2047;10773;0;0;0;0;0;10.00222843
ОФЗ 46011;RU0002867854;1000;3.53;0;1570;0;102.613;99.73;364;29.08.2018;63.29;20.08.2025;2682;0;9;0;0;133;10.00039835
ИФКСОЮЗ2;RU000A0JTHF9;1000;9.6;0;0;0;65;99.73;364;21.06.2018;81.92;09.12.2027;3523;0;1;0;0;1;10.00039835
ИФКСОЮЗ3;RU000A0JU278;1000;71.95;0;0;0;60;99.73;364;31.07.2018;70.96;18.07.2028;3745;0;1;0;0;1;10.00039835
РусфинБ1P1;RU000A0JWPZ4;1000;6.69;0;117;0;75;49.59;181;12.08.2018;17.53;12.08.2026;3039;0;1;0;0;1;10.00019337
УпрОтход02;RU000A0JV0T3;1000;13.9;0;0;0;0;100;365;02.09.2018;62.19;01.06.2025;2602;0;0;0;0;0;10
ДОМ.РФ15об;RU000A0JQAM6;1000;-17.78;0;151;113.99;113;50.41;184;15.09.2018;9.04;15.09.2028;3804;0;4;4;2156;2011;9.999809783
ВЭБ 21;RU000A0JS4Z7;1000;7.74;102;313;102;100.36;49.86;182;04.09.2018;11.51;17.02.2032;5054;434520;11;4;25103;457;9.999395604
ДерПлат1P1;RU000A0ZYU54;1000;10.17;0;127;100;99.91;49.86;182;22.08.2018;15.07;15.02.2023;1765;0;1;1;10000;10000;9.999395604
ЗенитБО-13;RU000A0JUPW5;1000;9.19;0;65;100.39;68.89;49.86;182;21.06.2018;32.05;13.06.2024;2249;0;3;3;229;3;9.999395604
КРАУС Б1P1;RU000A0JX2L4;1000;0;0;0;0;0;49.86;182;21.06.2018;32.05;10.12.2026;3159;0;0;0;0;0;9.999395604
КрЕврБ-Б10;RU000A0JVUR3;1000;7.28;0;179;101.89;100.01;49.86;182;23.04.2018;48.22;22.10.2018;188;0;3;2;8106;1496;9.999395604
КрЕврБ-Б15;RU000A0JVRQ1;1000;2.66;0;0;0;65;24.93;91;15.06.2018;8.77;14.09.2018;150;0;3;0;0;12;9.999395604
МОЭСК БО-5;RU000A0JWJX2;1000;0;0;0;0;62;49.86;182;05.06.2018;36.44;26.05.2026;2961;0;1;0;0;20;9.999395604
МТС 03;RU000A0JPTJ4;1000;10.07;0;0;0;99.17;49.86;182;12.06.2018;34.52;12.06.2018;56;0;14;0;0;195;9.999395604
НовикомБО2;RU000A0JVJ94;1000;7.04;0;63;0;0;49.86;182;19.06.2018;32.6;19.06.2018;63;0;0;0;0;0;9.999395604
НовикомБО5;RU000A0JVJ45;1000;8.76;0;59;0;0;49.86;182;15.06.2018;33.7;12.06.2020;787;0;0;0;0;0;9.999395604
О1ГрФин1P2;RU000A0JXRL8;1000;0;0;0;0;0;24.93;91;24.05.2018;14.79;13.05.2027;3313;0;0;0;0;0;9.999395604
О1ГрФин1P3;RU000A0JXSR3;1000;0;0;0;0;0;24.93;91;04.06.2018;11.78;24.05.2027;3324;0;0;0;0;0;9.999395604
ПочтаРосБ2;RU000A0JWGV2;1000;7.28;0;369;0;96.17;49.86;182;17.05.2018;41.64;07.05.2026;2942;0;5;0;0;9;9.999395604
РОССИУМ 01;RU000A0JVT43;1000;10.29;0;160;100.64;99.97;49.86;182;24.09.2018;6.03;15.09.2025;2708;0;3;5;3454;3330;9.999395604
РСХБ 21;RU000A0JU1Q8;1000;7.76;0;98;100.8;100.55;49.86;182;24.07.2018;23.01;18.07.2023;1918;0;7;2;2525;10413;9.999395604
СТНТ БО-01;RU000A0ZYZS0;1000;0;0;0;0;65.17;49.86;182;24.09.2018;6.03;20.03.2023;1798;0;2;0;0;6;9.999395604
СТТ 02;RU000A0JXMB0;1000;9.78;100.39;339;100.35;100;49.86;182;29.09.2018;4.66;30.03.2022;1443;307153;7;6;4809;4055;9.999395604
Самолет 01;RU000A0JWYJ0;1000;10.38;0;0;0;63;24.93;91;11.05.2018;18.36;30.10.2026;3118;0;2;0;0;2;9.999395604
СберБ БО42;RU000A0JWKZ5;1000;0;0;0;0;65.01;49.86;182;20.06.2018;32.33;20.06.2019;429;0;3;0;0;60;9.999395604
СоломЛес01;RU000A0JUVT9;1000;10.25;0;0;100;0;49.86;182;03.10.2018;3.56;29.09.2021;1261;0;0;1;4897;0;9.999395604
ТрансФБО32;RU000A0JUWW1;1000;10.25;0;0;0;63;49.86;182;11.10.2018;1.37;03.10.2024;2361;0;1;0;0;1;9.999395604
ТрансФБО33;RU000A0JUX30;1000;0;0;0;0;0;49.86;182;16.10.2018;0;08.10.2024;2366;0;0;0;0;0;9.999395604
ТрансФБО34;RU000A0JUWA7;1000;10.24;0;0;0;65;49.86;182;08.10.2018;2.19;30.09.2024;2358;0;1;0;0;1;9.999395604
ТрансФБО35;RU000A0JUXT5;1000;0;0;0;0;0;49.86;182;23.04.2018;48.22;14.10.2024;2372;0;0;0;0;0;9.999395604
ТрансФБО36;RU000A0JUYC9;1000;0;0;0;0;0;49.86;182;02.05.2018;45.75;23.10.2024;2381;0;0;0;0;0;9.999395604
ЯрОбл 2016;RU000A0JWHN7;1000;8.52;0;1049;108.99;101.71;24.93;91;25.05.2018;14.52;19.05.2023;1858;0;9;6;329;1031;9.999395604
МГор66-об;RU000A0JQHM1;1000;6.75;0;213;102.37;101.11;24.38;89;23.05.2018;14.52;23.11.2018;220;0;12;6;1363;1172;9.998539326
ВлгОб35005;RU000A0JUP89;400;6.88;0;251;102.11;100.26;9.97;91;14.06.2018;3.62;13.07.2019;452;0;19;12;36161;3102;9.99739011
ФолксвБ 10;RU000A0JWMT4;1000;7.16;0;262;142.87;85.01;49.89;183;14.07.2018;25.9;16.07.2021;1186;0;4;1;1;27;9.950737705
ГПБ БО-12;RU000A0JX0P9;1000;7.4;0;220;102.25;100.36;49.61;182;02.06.2018;37.07;02.12.2019;594;0;14;1;13527;10094;9.949258242
МегафонБ1P;RU000A0JWGG3;1000;7.2;0;362;0;101.01;49.61;182;10.05.2018;43.34;09.05.2019;387;0;13;0;0;201;9.949258242
Русфинан12;RU000A0JUT69;1000;7.31;0;467;0;70;49.61;182;23.08.2018;14.72;22.08.2019;492;0;1;0;0;1;9.949258242
СПбТел 07;RU000A0JRVU3;1000;8.62;0;1235;104.99;103.5;49.61;182;09.10.2018;1.91;05.04.2022;1449;0;6;23;100075;380;9.949258242
СилМашБО-3;RU000A0JWTW3;1000;11.49;98.4;498;98.4;96;49.61;182;24.09.2018;6;14.09.2026;3072;4920;5;6;52827;262;9.949258242
СилМашБО-4;RU000A0JWTX1;1000;13.08;96.5;498;96.5;96.12;49.61;182;24.09.2018;6;14.09.2026;3072;137031;18;15;41335;296;9.949258242
ТрансмшПБ1;RU000A0JXD07;1000;7.79;103.8;609;103.8;103.7;49.61;182;07.08.2018;19.08;04.02.2020;658;5252280;11;5;29155;5098;9.949258242
ФПК 01;RU000A0JWKN1;1000;7.03;0;397;0;0;49.61;182;14.06.2018;33.8;04.06.2026;2970;0;0;0;0;0;9.949258242
ОФЗ 29010;RU000A0JV4Q1;1000;8.27;116.4;3218;116.19;116.15;49.46;182;27.06.2018;30.44;06.12.2034;6077;583278;31;24;6554;28916;9.919175824
КАМАЗ БО14;RU000A0JX1C5;1000;0;0;0;0;0;49.46;182;11.06.2018;34.52;24.11.2031;4969;0;0;0;0;0;9.919175824
ОмскАдм 2;RU000A0JWWQ9;700;8.17;0;374;104.99;102.04;17.28;91;24.04.2018;15.95;26.10.2019;557;0;15;6;5888;5435;9.901412873
ЦентрИБО1Р;RU000A0JXTX9;1000;7.93;0;0;0;63.01;24.41;90;20.04.2018;23.6;20.07.2018;94;0;2;0;0;2;9.899611111
СберБ БО18;RU000A0JWH46;1000;6.51;103.65;377;103.5;103.1;49.09;181;24.05.2018;39.06;24.05.2021;1133;47679;20;4;4932;30236;9.899364641
МегафнБ1P2;RU000A0JWKA8;1000;7.88;0;0;0;67;24.68;91;08.06.2018;10.58;29.05.2026;2964;0;2;0;0;21;9.899120879
Русфинан13;RU000A0JU195;1000;7.08;0;92;100.98;65;49.36;182;18.07.2018;24.41;18.07.2018;92;0;1;2;2131;1;9.899120879
СистемБ1P5;RU000A0JWZY6;1000;9.79;0;617;100.75;100.01;24.68;91;25.05.2018;14.38;13.11.2026;3132;0;16;15;12936;6070;9.899120879
ТомскОб 55;RU000A0JW1K9;1000;7.73;0;1141;111.98;104.37;24.68;91;25.06.2018;5.97;19.06.2023;1889;0;9;2;1002;89;9.899120879
ТрнфБО1P1;RU000A0JWK90;1000;7.25;0;1489;111.8;90.01;49.36;182;08.06.2018;35.26;02.06.2023;1872;0;6;1;5000;29;9.899120879
ЦентрИБ1Р2;RU000A0JXVS5;1000;8.76;0;120;0;0;24.68;91;18.05.2018;16.27;17.08.2018;122;0;0;0;0;0;9.899120879
ВЭБ 10;RU000A0JRTN2;1000;7.9;0;0;0;80.01;49.12;182;25.09.2018;5.67;21.09.2021;1253;0;4;0;0;23;9.850989011
ГТЛК 1P-04;RU000A0JXPG2;1000;7.6;110.2;1454;110.2;109.77;24.56;91;24.04.2018;22.67;06.04.2032;5103;5510;12;2;26995;12378;9.850989011
ДельтКрБО5;RU000A0JS6M0;1000;7.32;0;656;104.7;103.05;49.12;182;21.04.2018;48.04;21.10.2023;2013;0;1;1;23973;2000;9.850989011
РЖД БО-17;RU000A0JWHU2;1000;7.57;0;2828;0;90.01;49.12;182;25.05.2018;38.86;26.04.2041;8410;0;4;0;0;5;9.850989011
ТрансФ1P02;RU000A0JXK99;1000;8.94;0;312;101.37;100.8;49.12;182;03.09.2018;11.6;22.02.2027;3233;0;12;3;301;81;9.850989011
